License ID,Trade Name,Address,City,State,Zip Code,Report Type
"135095","Sweet Briar College Farm","134  Chapel RD","Amherst","VA","24595","Beer Shipper - In State (Industry)",
"051310","Tarara Winery","13648  Tarara LN","Leesburg","VA","20176","Beer Shipper - In State (Industry)",
"752874","The Barns at Hamilton Station Vineyards","16804  Hamilton Station RD","Hamilton","VA","20158","Beer Shipper - In State (Industry)",
"134901","The Beer and Wine Shop","90  Featherbed LN","Winchester","VA","22601","Beer Shipper - In State (Industry)",
"752221","The Briede Family Vineyards","450  Green Spring RD","Winchester","VA","22603","Beer Shipper - In State (Industry)",
"067755","The Homeplace Vineyard","568  Rigney CIR","Chatham","VA","24531-5482","Beer Shipper - In State (Industry)",
"094228","The Lodge at Mount Ida Reserve","5931  Blenheim RD","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"752842","The New River Vineyard & Winery","6750  Falling Branch RD","Fairlawn","VA","24141","Beer Shipper - In State (Industry)",
"752755","The Veil Brewing Company","1301  Roseneath RD","Richmond","VA","23230","Beer Shipper - In State (Industry)",
"028025","The Virginia Company","1047 N Emmet ST","Charlottesville","VA","22903","Beer Shipper - In State (Industry)",
"027499","The Williamsburg Winery Ltd","5800  Wessex Hundred N/A","Williamsburg","VA","23185","Beer Shipper - In State (Industry)",
"082128","The Winery at Bull Run LLC","15950  Route 29 N/A","Centreville","VA","20120","Beer Shipper - In State (Industry)",
"752879","The Winery at Kindred Pointe LLC","3575  Conicville RD","Mount Jackson","VA","22842","Beer Shipper - In State (Industry)",
"135498","Thistlerock Mead Company","3075  Gables Run RD","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"753073","Three Creeks Winery","18548  Harmony Church RD","Hamilton","VA","20158","Beer Shipper - In State (Industry)",
"751481","Three Notchd Brewing Company LLC","520 SE 2nd ST","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"088187","Tinto Wine & Cheese Etc","640  Hilltop West Shopping CTR","Virginia Beach","VA","23451-6139","Beer Shipper - In State (Industry)",
